English,Russian
programmable,программируемый
wreath,венок
wai,вай
clad,очарование
reorder,Изменение порядка
semen,сперма
trolley,тележка
airspace,воздушное пространство
horizons,горизонты
milligram,миллиграмм
stout,устойчивость
spree,веселье
allawi,аллави
phenotype,фенотип
senegal,Сенегал
abel,авель
diminished,уменьшился
elude,ускользнуть
samantha,саманта
weve,Мы
mammalian,млекопитающий
conceptually,концептуально
unreasonably,необоснованно
xx,хх
decoder,декодер
bioterrorism,Биотерроризм
fractal,фрактал
ww,вот
immutable,неизменный
wilkins,Уилкинс
canton,кантон
freelancer,фрилансер
scotch,скотч
daschle,дашле
burmese,бирманский
hypnotic,гипнотический
showroom,выставочный зал
heavyweight,тяжелый вес
turbo,турбо
plug-ins,плагин
furry,пушистый
purposeful,целенаправленный
hoist,подъемник
infestation,заражение
adopter,усыновление
non-violent,ненасильственный
space-time,пространство-время
modulate,модулировать
gre,репутация
supp,вспомогательный
urinate,мочиться
grinder,мельница
ballpark,баллы
blacken,чернокожий
dormitory,общежитие
repurchase,выкупа
rheumatoid,ревматоид
reliant,полагаться
tragically,трагически
visitors,посетители
experimenter,экспериментатор
whirl,вихрь
mustang,мустанг
chandra,чандра
shroud,кожух
shepard,папард
mf,мф.
glamour,гламур
rocks,горные породы
sire,сияние
inflated,раскрытый
clump,склад
spitzer,спитцер
nag,нагнуться
spinach,шпинат
rivera,река
stave,выдерживать
ginsburg,Дженсбург
after-school,после школы
separatist,сепаратист
cede,уступать
post-secondary,пост-вторичный
inseparable,Неотделимый
hustle,суетиться
calcutta,Калькутта
choosing,выбирая
burdensome,обременительно
cramped,сжатый
indulgence,снисходительность
stylistic,стилистический
patriarchal,патриархал
polity,политика
sheltered,укрытый
temperance,умеренность
stomp,воодушевлять
congregational,конгрегационный
ascension,восхождение
descriptors,дескрипторы
saxon,саксон
enshrine,закрепление
wil,увиливать
radioactivity,радиоактивность
wilfully,усердно
gillespie,Гиллесс
transsexual,транссуаль
all-star,все звезды
reprisal,репрессия
bars,бары
sunnis,сундук
yay,ура
pervert,извращенец
repatriation,репатриация
chic,шикарный
cambodian,камбоджин
friedrich,Фридрих
perle,преступник
casing,корпус
dizzy,испытывающий головокружение
maynard,майнард
mueller,Мюллер
aggressor,агрессор
diebold,Дейбольд
recoup,окупаться
discernible,различимый
sweepstake,лотереи
genomics,геномика
hyperlinks,гиперссылки
infiltration,инфильтрация
mayhem,бессмысленный
nonexistent,несуществующий
one-off,одноразовый
overarching,всеобъемлющий
avon,авон
colonization,колонизация
errand,поручение
pre-emptive,претендующий
respite,передышка
vale,вал
reassess,переоценивать
digitization,оцифровка
reboot,перезагружать
lexicon,лексикон
doj,дождь
argentine,аргентина
cease-fire,прекращение огня
snare,ловушка
jasper,Джаспер
anatomical,анатомический
reprimand,выговор
fading,исчезновение
alchemy,алхимия
ecologist,эколог
going,собирается
slew,поднять
bloodshed,кровопролитие
dunno,Не знаю
larger,больше
conyers,кони
guys,ребята
momentarily,на мгновение
swansea,суанса
phosphate,фосфат
obsessed,одержимый
noodle,лапша
pcs,шт
tonnage,тоннаж
falsify,фальсифицировать
abreast,ряд
resumption,возобновление
gunner,стрелок
fortnight,заседание
inasmuch,потенциал
byrd,промежуточный
snowy,снежно
predictability,предсказуемость
burundi,Бурунди
greenville,Гринвилл
norma,Норма
sinai,синай
gracefully,изящно
bbq,барбекю
armchair,кресло
greer,Грир
dolly,Долли
drc,др
lander,оздоровительный
breakup,расставаться
polymorphism,полиморфизм
browning,моряк
unabridged,нерешительный
manipulative,манипулятивный
derivation,вывод
peacock,павлин
mountainous,гористый
full-length,полная длина
handwritten,рукописный
hutton,хаттон
prudence,осторожность
casa,каса
seaside,Приморский
superfluous,лишнее
sar,сар
briefcase,портфель
powdered,порошок
hegel,Гегель
violator,нарушитель
goggle,окуривать
pearce,пирс
fearless,бесстрашный
infuriate,бесконечный
glazing,остекление
xl,хл.
stormy,штормовый
pastime,времяпрепровождение
yeltsin,Йельцин
edema,отек
shipper,грузоотправитель
jeb,репутация
cutoff,отрезать
clam,моллюск
huron,гумон
apron,фартук
roswell,розовый
incapacity,неспособность
delinquent,преступник
lexical,лексический
carole,карол
flawless,безупречный
reconnect,подчеркивать
larsen,ларесен
illogical,негативно
gall,галлу
anti-social,антиобщественный
livingston,Ливингстон
emphatically,решительно
merchandising,мерчендайзинг
baroque,барокко
ecstatic,экстаза
turret,башня
foundational,фундамент
nappy,отрицательный
thence,отсюда
seamlessly,бесшовно
summers,лето
nautical,морской
enjoin,считать
payday,зарплата
downtime,время простоя
bored,скучающий
hadith,хадит
ones,одинаковый
lsu,автор
gripe,погребание
occupier,оккупан
affliction,аварийный
lunchtime,Обед
radiator,радиатор
overture,увертюра
best-known,самый известный
stagger,потрясающий
upfront,авансовый
meta-analysis,Мета-анализ
tango,танго
topographic,топографический
abundantly,обильно
handhelds,портативные
stacy,Стейси
steiner,Штайнер
subdivide,подразделение
astute,проницательный
genomic,геномический
amphibian,амфибия
duff,портить
livingstone,Ливингстон
mailer,посылка
schultz,Щульц
cunning,хитрость
dilate,расширять
huang,хуера
segmentation,сегментация
damascus,Дамаск
tf,тф.
fedora,Федора
claudia,Клаудия
extracurricular,внеклассный
gratification,удовлетворение
pts,очков
raspberry,малина
onsite,на месте
sarbanes-oxley,сарбенс-окси.
thereon,на нем
avocado,авокадо
foundry,Литейный завод
biennial,двухгодичный
olivia,Оливия
dirk,дирков
catchy,бросающийся
bookshelf,книжная полка
obliterate,уничтожать
mosul,мосул
normalization,нормализация
solidly,твердо
allusion,аллюзия
torrent,торрент
collier,колье
respecting,уважение
spotter,корректировщик
picasso,пикассо
belgrade,Белград
fulton,Фултон
deals,сделки
interracial,межрасовый
downgrade,понижение
otc,оф
yup,Ага
collagen,коллаген
skid,занос
anomalous,аномальный
cassie,касси
broccoli,брокколи
hes,он
henceforth,впредь
bombardment,бомбардировка
superimpose,суппозительный
enumeration,перечисление
abet,абет
stash,смягчать
sanford,санфорд
subparagraph,подпункт
inversion,инверсия
fraternal,братский
pence,оторваться
railing,перила
interweave,взаимодействие
ev,эв
caster,заклинание
getaway,уходи
magically,магически
imdb,предвещать
darpa,дарпа
sst,овладение
entrenched,укоренившийся
nebula,туманность
woodpecker,дятел
re-enter,повторно войти
causality,причинность
whereabouts,местонахождение
aspen,осина
shelton,Шелтон
english-language,английский язык
multilingual,многоязычный
reclamation,рекурация
alberto,Альберто.
devotee,преданный
appl,приклеивать
asterisk,звездочка
cardiologist,кардиолог
encroachment,вторжение
skyline,горизонт
roadblock,контроль
gras,Грас
inverted,перевернутый
christy,Кристи
presumed,Предполагается
tudor,овладенец
brainwash,мозги
severance,разрыв
sawyer,соревнование
scour,промежуток
nra,овладение
oblivion,забвение
roberto,роберто
home-based,домашний
compaq,составлять компанию
lymphocyte,лимфоциты
mire,мире
syntactic,синтаксический
britney,Бритни
burrow,орех
shriek,визг
midday,полдень
franco,франко
skater,конькобежец
epiphany,Богоявление
roma,Рома
berkshire,Беркшир
panoramic,панорамный
mage,маг
secession,отделение
bridal,свадьба
fo,вспомогательный
antecedent,предшествовать
bulldog,бульдог
conservancy,охрана
north-south,север Юг
playa,Плайя
jurist,юрист
youÂd,ты
feud,врач
jug,кувшин
distressing,беспокойство
fiji,Фиджи
nairobi,Найроби
muller,Мюллер
self-sufficient,самодостаточность
lumbar,поясница
depressive,депрессивный
aston,астон
health-related,Здоровье связано
infallible,непогрешимый
self-serving,самообслуживание
musculoskeletal,Мускулоскелет
adrenal,надпочечник
ovulation,овуляция
deli,гастроном
authorities,власти
neurologist,невролог
worlds,Мир
amplification,усиление
dl,дл
secretive,секретный
dyslexia,дислексия
dialectic,диалектика
graciously,любезно
retaliate,отомстить
jacqueline,Жаквилин
empirically,эмпирически
ventura,вентра
tote,топот
perjury,острая
fd,фен
arid,засыпанный
griffiths,Гриффитс
wiggle,смягчать
bantam,петух
originator,отправитель
trucking,грузоперевозки
amputation,ампутация
blueberry,черника
spaghetti,спагетти
flask,колб
wolfgang,вольфганг
nist,нич
infrequently,редко
marge,замаскировать
adjudicate,решительный
unsuccessfully,безуспешно
reversible,обратимый
nocturnal,ночной
threats,угроза
stereotypic,стереотипный
barring,забавляться
maul,маул
flair,таинство
sparks,искры
line-up,расстановка
ripen,созревать
rg,рентабельность
sorely,сорвано
vegan,веган
tc,тс
smog,смог
titanium,титан
predominate,преобладать
actuality,Актуальность
horseshoe,подкова
livermore,ливерморе
punishable,наказывается
belmont,белмонт
stony,каменистый
pi,Пи
meadows,луга
jamaican,ямайский
submerge,погружение
bloated,раздутый
monolithic,монолит
israelite,израильтянин
leads,ведущий
mace,булавка
revitalization,оживление
spears,копья
whoa,варья
left-hand,левая рука
speaks,говорить
headroom,головной дом
lyrical,лирический
televised,телевизионный
godfather,крестный
palliative,паллиативность
flax,ленс
primal,первичный
panasonic,панасон
gladwell,глада
unintentional,непреднамеренный
stoke,кандидат
impurity,примесь
scourge,насыщение
autoimmune,аутоиммунный
couldnt,не могло
ever-increase,когда-либо рост
microscopy,микроскопия
straits,пролив
knoxville,Ноксвилл
cary,кариоз
marketable,маркуровщик
cultivar,сорт
wishful,желанный
omnibus,омнибус
basra,басра
sobering,оторвать
clint,клиент
ibrahim,Ибрагим
versatility,универсальность
dispatcher,диспетчер
triangular,треугольный
erratic,ошибаться
gloucester,Глостер
rican,рикан
retroactive,ретроактивен
artistry,артистизм
atypical,атипичный
adjournment,отсрочка
spokane,соперник
uncontrollable,неконтролируемый
servicing,обслуживание
wc,Туалет
clair,яица
sterilization,стерилизация
unhappiness,несчастье
hex,шестигранный
nation-state,национальное государство
malware,вредоносное ПО
pastel,пастель
atrial,предсердийный
air-conditioning,кондиционирование воздуха
enlightening,просвещать
snort,подниматься
hadley,хэдли.
meetup,встреча
frontpage,титульная страница
barak,барак
plame,планировать
pharma,фарма
newswire,новобранец
side-by-side,бокомый
sexist,сексист
melancholy,меланхолия
second-hand,подержанный
incontinence,недержание недержания
sushi,суши
slur,сладкий
grumble,ворчать
regency,регентство
celsius,Цельсия
detonate,детонат
pickering,пикирование
non-native,не родной
refuel,зафиксировать
hanging,висит
mater,матер
postdoctoral,постдоктор
ims,мрачный
realignment,перестройка
northampton,Нортгемптон
pamper,пампер
camden,камден
exhale,выдохнуть
equalize,выравниваться
briggs,Бриггс
policy-maker,политика
pep,пеп
symptomatic,симптоматический
provocation,провокация
epistemology,эпистемология
normandy,Нормандия
closeness,близость
widening,расширение
torres,Торрес
eyesight,зрение
barron,баррон
downs,падения
housework,домашние дела
loathe,ненависть
strikingly,поразительно
antiwar,антивоенный
intercultural,межкультурность
rigorously,Строго
swoop,обручить
lipstick,помада
charger,зарядное устройство
tanya,Таня
horowitz,горизотц
foodstuff,пищевые продукты
issn,вспомогательный
klaus,Клаус
delighted,получивший удовольствие
obstructive,обструктивно
dillon,диплом
diaspora,диаспора
adage,поговорка
reckoning,расплата
perturbation,возмущение
yorkers,Йорка
proverbial,пресловутый
non-linear,нелинейный
tuesdays,вторник
attractiveness,привлекательность
cactus,кактус
workday,рабочий день
gable,подобный
duh,дух
peruse,поручитель
hast,усаживаться
pv,пв
damon,демон
relativism,релятивизм
booze,выпивка
toothpaste,зубная паста
emigration,эмиграция
ricardo,рикардо
hersh,Герш
indignation,негодование
one-quarter,одна четверть
unsupported,неподдерживаемый
lansing,ленс
codex,кодекс
catcher,ловца
infest,заражение
hind,задний
pollster,отбиение
nero,Нерон
sarcastic,саркастический
trafficker,торговец людьми
psc,преступность
tty,оздоровительный
intersperse,переплетать
durban,Дурбан
affectionate,любящий
supposition,предположение
ninja,ниндзя
eastman,восточный
goes,идет
antic,антиквартирный
inundate,затоплять
gunfire,стрельба
undefined,неопределенный
oily,жирный
whitehead,белый
pye,пищи
mecca,Мекка
hindrance,помеха
vernacular,навесной
roofing,кровельные работы
platter,разыскивать
trespass,преступность
resuscitation,реанимация
structurally,структурно
out-of-pocket,из-за
nws,нос
jingle,потрясение
disintegration,дезинтеграция
interlock,мебель
coomb,коморс.
subunit,субъединица
bloat,раздувать
bce,договорный
sao,соус
ultram,ультра
after-tax,послеломки
jobless,бездействующий
wreak,заново
biographer,биограф
reassignment,переназначение
chakra,чакра
palsy,паралич
investors,инвесторы
overcrowd,переполнять
pharaoh,фараон
kilo,килограмм
adhesion,адгезия
gosh,гоша
forester,лес
rapporteur,докладчик
tex,перевозка
civ,совокупность
goto,перейти к
yin,Йин
equestrian,конный
nugget,самоугольник
elena,Елена
straddle,радуга
reproducible,воспроизводимый
backfire,обратная сторона
inactivity,бездействие
milling,фрезерование
suction,всасывание
doubling,удвоение
rhino,носорог
pry,добраться
gripping,захват
boise,боевик
indebtedness,задолженность
electrician,электрика
acutely,осторожно
bloke,разыграть
lauderdale,Лаудердейл
dupe,дурак
inorganic,неорганическое
optimist,оптимист
fractional,дробный
hangover,Похмелье
storefront,витрина
lsd,ЛСД
susanna,Сюзанна
methanol,метанол
ovary,яичника
cocke,коквина
parted,расстаться
toledo,Толедо
twig,веточка
year-end,конец года
topology,топология
tyson,тисон
hand-held,ручной работы
overtly,осторожно
pimp,суперизм
burr,застрел
discipleship,ученичество
shopkeeper,лавочник
itemize,подробно
nsc,настраивание
christensen,Кристенсен
elongate,удлиненный
garda,Гарда
foothold,опора
multiplicity,множество
cho,чо
elitist,элитар
mango,манго
cleavage,расщепление
milieu,милость
protrude,выступать
humanistic,гуманистический
two-dimensional,двумерный
viva,вива
favored,одобренный
todays,Сегодняшний
osborne,Осборн
botany,ботаника
drucker,упор
debrief,разговор
retort,реторта
oop,ов
crusader,крестонос
bosom,потрясающий
ridiculously,смешно
freedman,вольноотпущенник
bursary,башмар
retell,рельс
cheesy,сырный
pelt,шкура
mascot,талисман
comcast,укомплектовать
cutler,катлер
fdr,фдраво
salisbury,Солсбери
motorway,автомагистраль
debatable,спорный
farce,фарш
duffy,отдаленный
fungal,грибковый
indemnification,компенсация
endogenous,эндогенный
eternally,вечно
whoÂs,кто-то
sup,Как дела
robyn,робин
leno,лено
actuarial,актуарный
logon,логин
self-conscious,осознанный
kraft,крафт
boots,сапоги
enforcer,Энционер
vis,поиске
supervisors,руководитель
afar,вдальше
armory,оружия
arcane,тайно
granddaughter,внучка
blob,капли
skyscraper,небоскреб
divulge,разглашать
personÂs,человек
circuitry,схема
editor-in-chief,Главный редактор
nourishment,питание
dispersal,диспергирование
opportunistic,оппортунистический
romanian,румынский
hadnÂt,не
gmail,усадьба
extravagant,экстравагантный
courtship,ухаживать
smother,вымирание
banjo,банджо
manic,маниал
skier,лыжник
magnum,магнит
condolence,соболезнование
preservative,консервантность
well-design,хорошо конструкция
schoolchildren,школьники
criminology,криминология
diuretic,диуретический
carnage,бойня
jig,джиг
katharine,Кэтрин
insolvency,несостоятельность
much-need,много нужно
cultured,культивируемый
munch,жевать
pickle,соленый огурец
dilution,разбавление
free-market,свободный рынок
eloquently,красноречиво
asha,Аша
follicle,фолликул
dewitt,девитт
feldman,Фельдман
ashram,ашрам
underwriting,андеррайтинг
mellow,мягкий
north-west,северо-Запад
downsizing,вниз
roulette,рулетка
exalt,возвышать
joyous,радостный
subsurface,подповерхность
sonoma,сонома
rightfully,по праву
cw,повседневный
prowess,мастерство
mysticism,мистика
geophysical,геофизический
neurotransmitter,невротрансмиттер
dagger,кинжал
tanner,таннер
blurb,прилавка
intrude,имущество
northward,на север
judges,судьи
namibia,Намибия
cheerleader,болельщик
pedestal,пьедестал
retailing,розничная торговля
unsuspecting,ничего не подозревающее
theyÂll,они
diem,диэм
wrestling,борьба
nostalgic,ностальгии
tj,оздоровительный
craze,увлекать
lyle,лайлет
solstice,солнцестояние
prick,уколоть
sparkle,блеск
ritalin,риталин
doubleday,увлекать
landmine,наземный
heretic,еретика
measuring,измерение
waveform,формирование волны
meticulous,дотошный
flutter,трепетание
smes,МСП
out-of-state,вне штата
unsolved,нерешеный
windfall,неожиданность
toxicology,токсикология
fab,потрясающий
developers,Разработчики
antagonism,антагонизм
infraction,нарушение
spindle,шпиндель
concerto,концерт
secrete,вычеркивать
buttock,ягодичный
prescriptive,предписывающий
quartz,кварц
receiving,прием
detour,объезд
confide,доверять
coincidentally,совпадающе
discreet,сдержанный
sonnet,сонет
thrilling,захватывание
internet-based,Интернет-основатель
monoxide,монооксидный
liquidation,ликвидация
gin,Джин
abigail,абигал
wharf,пристань
terminator,терминатор
appraiser,оценщик
impedance,импеданс
unwittingly,невольно
starting,запуск
hamster,хомяка
brittle,хрупкий
copeland,конфета
inert,инертный
achilles,ахиллес
phyllis,Филлис
transformative,преобразование
dolph,дельф
cooke,поочень
caucasian,кавказский
hateful,ненавистный
effortlessly,без особых усилий
curvature,кривизна
footer,беседка
sterilize,стерилизовать
multivariate,мультивариал
natasha,наташа
fiat,портить
unjustified,необоснованный
motherboard,материнская плата
hereof,здесь
financier,финансист
mali,Мали
veritable,настоящий
blower,вентилятор
infrequent,редкий
sabre,саблей
chalmers,чармеры
otis,Отис
intolerant,непереносимый
macho,мачо
intricacy,затруднение
mcdonalds,Макдоналдс
momentous,важно
ouch,отель
georges,Джорджи
helix,спираль
commander-in-chief,главнокомандующий
sitter,стержень
homeopathic,гомеопатический
bowen,ботинка
psych,психика
augmentation,увеличение
goddard,Годдард
pander,поспешность
mercer,мерсхема
unquestionably,несомненно
disorientate,дезориентат
limitless,Безграничный
incompatibility,несовместимость
bengal,бенгальский
meltdown,расплавление
uterine,матки
pessimism,пессимизм
hubbert,господин
end-to-end,концы с концами
stub,окуривать
roach,плотва
transgression,преступность
ib,ір
collecting,коллекционирование
kappa,каппа
gods,Божья
atlantis,Атлантис
glacial,ледниковый
chasm,пропасть
manga,манга
havana,Гавана
commonality,общность
next-generation,следующее поколение
peacetime,мирного времени
qatar,Катар
today’s,Сегодняшний
cholera,холера
apologist,апологет
pharmaceuticals,фармацевтические препараты
consignment,партия
morphine,морфий
scarlett,Скарлетт
systolic,систолический
detectable,обнаружен
biosphere,биосфера
chevron,шеврон
splint,разбиваться
suggested,предложенный
pelvis,таз
carleton,Карллтон
westport,весторт
elias,Элиас
bribery,подкуп
shimmer,мерцание
re-read,пересчитать
vocalist,вокалист
safer,более безопасный
forecaster,прогноз
treo,трео
colloquium,коллоквиум
workersÂ,рабочие
sickle,сочленяться
dea,ДЭА
aromatic,ароматический
crc,потрясающий
gratify,схватывать
od,од
hutter,находчивый
erika,Эрика
attune,одобрять
popper,поппер
mid-sized,средние размеры
middleware,промежуточное программное обеспечение
elisabeth,Элизабет
singularity,сингулярность
wr,присвоение
non-technical,нетехника
cortical,кормический
devalue,девалью
aft,вспомогательный
mal,мал
donovan,донован
haryana,Харьяна
gregorian,Григориан
manÂs,человек
typography,типография
skilfully,умело
age-related,возрастный
middleman,посредник
arousal,возбуждать
upscale,высококачественность
floss,нить
extant,высадка
aggregator,агрегатор
shadowy,тень
lenny,Ленни
lynx,рысь
sn,сноги
cancun,канкун
wonderland,страна чудес
escalator,эскалатор
elijah,Илия
companionship,общение
venous,веноз
overland,погибший
frodo,фродо
dietitian,диетолог
gratuit,грабитель
hiatus,перехват
atrium,Атриум
sneaky,подлый
gw,гВ
critter,стержень
forrester,Форрестер
lett,летание
okinawa,Окинава
whopping,капон
bragg,брэгг
proximate,прексидный
propriety,Примечание
reported,сообщил
unsettling,тревожный
authorisation,авторизация
onerous,обременительно
ditto,жестокий
droplet,капелька
collectible,коллекционирование
faucet,смеситель
kosher,кошерство
staunch,верный
elucidate,выяснять
whisky,виски
beirut,Бейрут
elected,избранный
brother-in-law,шурин
disallow,запретить
gritty,смягчать
unwarranted,необоснованный
touring,гастролировать
stanza,СТАНЗА
ploy,уловка
carlyle,карсил
backstage,загадочный
palpable,ощутимый
dignified,достойный
bereavement,утратательно
ty,вытеснять
ami,ами
aborigine,абориген
seeds,семена
unspoken,невысказанный
unbelievably,Невероятно
poe,показывать
cochrane,кокраный
spalding,спальдинг
self-government,самоуправление
illusory,иллюзор
regis,региба
objector,объект
thicken,утолщение
dixie,диксизм
educators,преподаватели
gestation,беременность
tong,тонг
law-abiding,законопослушный
saloon,салон
lena,Лена
hardened,затвердевший
childrens,детский
zealander,Зеландер
sly,хитрый
inflexible,негибкий
spin-off,Дополнительная выгода
paved,мощеный
gymnasium,гимназия
scorch,ожог
charities,благотворительность
sunscreen,солнцезащитный крем
magnetism,магнетизм
non-smoker,некурящий
probational,вероятность
lunge,выручка
leisurely,неторопливый
prophylaxis,профилактика
colossal,колоссал
befriend,подружиться
spartan,спартан
archery,арка
fright,испуганный
unsigned,беззначный
persistently,настойчиво
disparage,разница
acad,акадент
fielding,находки
stroller,Бродяга
scandinavia,Скандинавия
europa,Европа
bsc,навес
snoop,схватить
walls,стены
conceivably,вероятно
arduous,одумывать
nip,преступник
auf,аваф
proportionate,пропорционально
restraining,сдержанность
high-resolution,высокое разрешение
navigational,навигация
brokeback,добраться
inhalation,вдыхание
medick,межественный
nigger,нигер
admissible,допустимый
kargil,Каргил
thoughtfully,вдумчиво
caress,ласка
guthrie,Гутри
off-site,безделье
dynamical,динамичный
aetna,Этна
parasitic,паразитар
redo,редо
workmanship,мастерство
endocrine,эндокрин
uae,ОАЭ
noxious,ядовитый
uncanny,укреплять
unmistakable,безошибочно
someplace,где-то
taco,тако
porous,пористый
republish,республика
haunted,преследовать
hasty,поспешно
farrell,фрелл
grounds,основания
manly,мужественный
bergen,берген
asking,спрашивать
bungalow,бунгало
ingrained,укоренившийся
constantinople,Константинополь
cuddle,обнимать
kensington,Кенсингтон
afloat,на плаву
deafness,глухота
cylindrical,цилиндрический
disturbed,нарушенный
feral,дикий
syndicated,синдицировано
fund-raising,поднятие средств
inflationary,инфляционный
lm,логин
dislocation,дислокация
rejuvenate,омолодить
obscurity,неизвестность
donaldson,Дональдсон
cityÂs,Городской
reintroduce,рентродус
unbalanced,неуравновешенный
lycos,ликос
tristan,Тристан
hurrah,Ура
sith,сиська
lars,Ларс
fairway,фарватер
unproductive,непродуктивно
got,есть
bode,вспомогательный
adverb,наречие
scared,испуганный
diluted,разбавленный
bonsai,бонсай
deb,деб
ecologically,экологически
eminem,эминем
madman,сумасшедший
nomenclature,номенклатура
complacency,самодовольство
ballard,баллард
soto,сото
audubon,аудбун
unfettered,беспрепятственный
minerals,минералы
twentieth-century,двадцатый век
consul,консул
cost-effectiveness,экономическая эффективность
chemicals,химические вещества
alexis,Алексис
externality,внешность
leveraged,заново
recoverable,восстанавливаемый
two-hour,два часа
fragrant,аромат
tammy,потрясающий
unifying,унифицировать
ness,недвижимость
sapphire,сапфир
thank-you,Спасибо
dyson,дисон
solace,утешение
aeronautics,аэронавтика
denny,денни
bogged,увязанный
hitchens,увлекать
exhilarate,волнистый
mv,м.В.
rampage,невысокий
madagascar,Мадагаскар
caucasus,Кавказ
proletarian,пролетарский
juncture,узел
cubicle,кабин
superfund,суперфунд
scriptural,писанья
webinar,вебинар
supernova,супернова
poole,приола
diazepam,диазепам
dia,диаметр
beckham,Бекхэм
senseless,бессмысленно
anon,анон
scattering,рассеяние
outgrow,выпуклость
stairway,лестница
salmonella,сальмонелла
seneca,Сенека
turntable,Проигрыватель
plumber,водопроводчик
quid,выводок
midwestern,средний запас
polly,Полли
peruvian,перуанский
beaumont,богомонтаж
supporting,поддерживая
remarry,пограничный
serb,стержень
hamstring,сухожилия
desirability,желательность
airwaves,Воздушные волны
defiant,вызов
cucumber,огурец
laziness,лень
tsar,цар
gatekeeper,привратник
heb,хвост
shares,акции
altruism,альтруизм
lh,ЛХ
animator,аниматор
spaceship,космический корабль
cowardly,трусливый
practicum,Практикум
withholding,удержание
dracula,Дракула
satirical,сатирический
bushel,бушель
che,черта
carcinoma,карцинома
knows,знать
humboldt,гербольдт
carte,карт
canary,канарейка
run-up,пробег
lgbt,ЛГБТ
grown-up,взрослый
remorse,раскаяние
incursion,вторжение
low-carb,с низким содержанием углеводов
phishing,фишинг
downsize,уменьшать
defamatory,деферация
rooster,петух
gist,суть
unlucky,несчастливый
inducement,побуждение
ceasefire,огня
situ,на месте
self-defence,самооборона
unworthy,недостойный
hanoi,Ханой
dubya,Дубья
wholeheartedly,от всего сердца
crease,складка
craftsmanship,мастерство
trimester,триместр
denigrate,отрицать
finishing,Окончание
napkin,салфетка
abramoff,абрамоз
drudge,сражение
gingerbread,имбирный пряник
coopt,купт
mysteriously,таинственно
congrats,поздравляю
transect,пересекать
reagent,реагент
moustache,усы
roost,рост
white-collar,белый воротничок
avant-garde,авангард
skit,скит
bandit,бандит
exxon,экзон
sumatra,Суматра
southward,на юг
loren,лорен
hypocrite,лицемер
pollack,Поллаб
dyer,деформация
unarmed,безоружным
copernicus,Коперник
moving,движущийся
sax,саксофон
antichrist,антихрист
illiteracy,неграмотность
vogue,мода
traumatize,травмировать
rockwell,роквелла
tha,та
self-reliance,самостоятельность
agrarian,аграрный
universality,универсальность
fruition,плод
gust,порыв ветра
turning,превращение
addison,Аддисон
lerner,ледер
dresser,комод
spousal,супруга
cost-benefit,затрат и выгод
chastity,нашатание
animosity,враждебность
patti,патти
bequest,завещание
nudity,наготал
passively,пассивно
erwin,эрвин
obstetrician,акушер
liturgical,литургический
foreshadow,предвещать
dorset,добыча
liquidate,ликвидация
horsepower,Лошадиные силы
endear,приятный
incoherent,бессмысленный
non-government,не правительство
indiscriminate,неизбирательный
chernobyl,чернобыль
spasm,спазм
suture,шва
klan,Клан
lorry,лорри
complexion,цвет лица
siberia,Сибирь
oneness,ОНИСНОСТЬ
revisionist,ревизионист
crochet,Вязание
whois,кто
collusion,сговор
transformational,трансформационный
ogged,загадочный
deformation,деформация
indigo,индиго
wb,вот
progesterone,прогестерон
cryptic,криптический
inquiring,поправка
armoured,бронированная
labrador,лабрадор
imp,укреплять
hubert,сумасшедший
michaels,Майклс
sheikh,шейх
opt-out,отказаться
disobey,непослушаться
pragmatism,прагматизм
rerun,рерон
in-law,по закону
woodrow,вулка
pol,пол
vance,ванна
vice-chancellor,вице-канцлер
kai,кай.
uris,УРИС
lets,давайте
duality,дуаственность
cypress,кипарис
tangent,тангенс
ehrlich,эрлич
balk,бабушка
scorpion,скорпион
anti-inflammatory,противовоспалительное средство
pneumatic,пневматический
sash,подстрекатель
zebra,зебра
drool,слюни
land-use,землепользование
sheehan,Шихан
marjorie,Марджори
lat,лат
guests,гостей
pty,ума
coventry,Ковентри
luminous,светящийся
smoky,дымчатый
douglass,Дугласс
yummy,вкусный
toni,тона
reposition,репозиция
kiddy,родом
primacy,первенство
shouldnÂt,не нужно
autobiographical,автобиографический
customizable,настраиваемый
virtualization,виртуализация
sif,синтес
prophesy,пророчество
demonic,демонический
recoil,отдача
ppl,преступник
ingram,инграм
lr,леготь
hobart,хобарт
hideous,отвратительный
pia,пиара
helplessness,беспомощность
haha,хаха
pres,председатель
variously,потрясающе
rey,Рей
tolerable,терпимо
mismanagement,неправильное управление
reproach,упрек
insignia,отличия
predation,хищничество
weighting,взвешивание
whistleblower,осведомитель
rosy,розовый
barometer,барометр
protease,протеаза
brandy,бренди
xmas,рождество
ventricle,желудочка
saucer,блюдце
on-the-job,на работе
beagle,Бигль
inspired,вдохновленный
content-type,Тип содержимого
vibe,атмосфера
seperate,отделение
isabella,Изабелла
questioner,справедливый
cass,касс
astray,с пути
counterterrorism,контртерроризм
callahan,Каллахан
grandeur,величие
heterogeneity,гетерогенность
theocracy,теократия
noam,ноам
rodgers,розгеры
islamabad,исламабад
propane,пропан
blacklist,черный список
skirmish,стычка
understatement,занижение
turns,повороты
demean,делать
hasnÂt,не
ludhiana,Лудхиана
supercomputer,суперкомпьютер
deterministic,детерминированный
eczema,экзема
synthesizer,синтезатор
momentary,мгновенный
mistreat,плохое обращение
colgate,коленгат
hairdresser,парикмахерская
gillian,Джиллиан
